,IC50 RIKP2 (nM),ID,ROMol,SMILES
0,3,11,<rdkit.Chem.rdchem.Mol object at 0x117134040>,Cc1ccc(O)cc1Nc1ccnc2ccc(S(C)(=O)=O)cc12
1,50,10,<rdkit.Chem.rdchem.Mol object at 0x1171340b0>,CS(=O)(=O)c1ccc2nccc(Nc3ccc4[nH]nnc4c3)c2c1
2,6.300000190734863,9,<rdkit.Chem.rdchem.Mol object at 0x146ff2f10>,CS(=O)(=O)c1ccc2nccc(Nc3ccc4scnc4c3)c2c1
3,50,8,<rdkit.Chem.rdchem.Mol object at 0x146ff2180>,CS(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1
4,630,7,<rdkit.Chem.rdchem.Mol object at 0x146ff2ff0>,Cc1ccc(O)cc1Nc1ccnc2ccccc12
5,10,6,<rdkit.Chem.rdchem.Mol object at 0x146ff3060>,Cc1ccc(O)cc1Nc1ccnc2ccc(-c3cccnc3)cc12
6,20,5,<rdkit.Chem.rdchem.Mol object at 0x146ff30d0>,Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NCC3CCOCC3)cc12
7,,12,<rdkit.Chem.rdchem.Mol object at 0x146ff3140>,Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NCC3CCCOC3)cc12
8,250,4,<rdkit.Chem.rdchem.Mol object at 0x146ff31b0>,COc1ccc2nccc(Nc3cc(O)ccc3C)c2c1
9,8,3,<rdkit.Chem.rdchem.Mol object at 0x146ff3220>,Cc1ccc(O)cc1Nc1ccnc2ccc(C(F)(F)F)cc12
10,10,2,<rdkit.Chem.rdchem.Mol object at 0x146ff3290>,CC(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1
11,5,1,<rdkit.Chem.rdchem.Mol object at 0x146ff3300>,CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3[nH]nc4ccc(F)cc34)c2c1
