SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
Cc1ccc(O)cc1Nc1ccnc2ccc(S(C)(=O)=O)cc12,"11",1,Done,20.56,-10.9118,"glide-grid_5j79_chainB_2",,,-10.9202,-1.45101,,,,,,,,,,,,,1,,,-10.9202,-37.1846,-14.5078,-51.6923,7.08651,-68.5129
CS(=O)(=O)c1ccc2nccc(Nc3ccc4nn[nH]c4c3)c2c1,"10",3,Done,25.01,-7.93244,"glide-grid_5j79_chainB_2",,,-7.95263,-0.7,,,,,,,,,,,,,1,,,-7.95263,-40.1245,-6.48903,-46.6136,7.40738,-63.6517
CS(=O)(=O)c1ccc2[nH+]ccc(Nc3ccc4nn[nH]c4c3)c2c1,"10",4,Done,15.01,-3.0964,"glide-grid_5j79_chainB_2",,,-5.2981,-0.665,,,,,,,,,,,,,1,,,-5.2981,-34.336,-8.49794,-42.8339,2.0913,-59.8493
CS(=O)(=O)c1ccc2nccc(Nc3ccc4scnc4c3)c2c1,"9",5,Done,17.63,-7.8012,"glide-grid_5j79_chainB_2",,,-7.80824,-0.4035,,,,,,,,,,,,,1,,,-7.80824,-37.351,-6.07632,-43.4273,5.94728,-58.4174
CS(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,"8",7,Done,17.14,-8.49123,"glide-grid_5j79_chainB_2",,,-8.54001,-0.838253,,,,,,,,,,,,,1,,,-8.54001,-40.299,-5.55407,-45.8531,7.24495,-63.2053
CS(=O)(=O)c1ccc2nccc(Nc3[nH]nc4ccc(F)cc34)c2c1,"8",8,Done,19.41,-8.1526,"glide-grid_5j79_chainB_2",,,-9.74942,-0.73273,,,,,,,,,,,,,1,,,-9.74942,-41.2207,-8.43575,-49.6565,5.54812,-68.2179
Cc1ccc(O)cc1Nc1ccnc2ccccc12,"7",9,Done,20.08,-10.5287,"glide-grid_5j79_chainB_2",,,-10.7664,-1.49661,,,,,,,,,,,,,1,,,-10.7664,-31.8229,-11.5202,-43.3431,5.30094,-58.1731
Cc1ccc(O)cc1Nc1cc[nH+]c2ccccc12,"7",10,Done,18.28,-6.47388,"glide-grid_5j79_chainB_2",,,-7.1325,-0.625474,,,,,,,,,,,,,1,,,-7.1325,-29.0898,-4.73447,-33.8243,0.426882,-47.1214
Cc1ccc(O)cc1Nc1ccnc2ccc(-c3cccnc3)cc12,"6",11,Done,29.48,-10.81,"glide-grid_5j79_chainB_2",,,-11,-1.46426,,,,,,,,,,,,,1,,,-11,-37.8982,-12.273,-50.1712,0.996381,-75.7431
Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NCC3CCOCC3)cc12,"5",13,Done,54.66,-11.3042,"glide-grid_5j79_chainB_2",,,-11.3454,-2.25862,,,,,,,,,,,,,1,,,-11.3454,-42.2336,-15.9615,-58.1951,7.3523,-87.1923
Cc1ccc(O)cc1Nc1cc[nH+]c2ccc(C(=O)NCC3CCOCC3)cc12,"5",14,Done,48.82,-5.1868,"glide-grid_5j79_chainB_2",,,-6.807,-0.9975,,,,,,,,,,,,,1,,,-6.807,-36.3473,-10.3736,-46.7209,8.74116,-68.0303
Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NC[C@H]3CCCOC3)cc12,"12",15,Done,55.29,-11.3289,"glide-grid_5j79_chainB_2",,,-11.37,-1.43736,,,,,,,,,,,,,1,,,-11.37,-42.5409,-14.935,-57.4759,8.2534,-85.7169
Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NC[C@@H]3CCCOC3)cc12,"12",16,Done,48.66,-11.9137,"glide-grid_5j79_chainB_2",,,-11.9549,-2.27411,,,,,,,,,,,,,1,,,-11.9549,-37.3282,-16.2094,-53.5376,7.1706,-86.0015
COc1ccc2nccc(Nc3cc(O)ccc3C)c2c1,"4",19,Done,22.97,-10.673,"glide-grid_5j79_chainB_2",,,-11.0464,-1.52466,,,,,,,,,,,,,1,,,-11.0464,-33.98,-12.0193,-45.9993,10.1233,-62.5928
Cc1ccc(O)cc1Nc1ccnc2ccc(C(F)(F)F)cc12,"3",21,Done,23.69,-10.9042,"glide-grid_5j79_chainB_2",,,-10.9452,-1.45607,,,,,,,,,,,,,1,,,-10.9452,-34.3445,-11.9577,-46.3023,5.12658,-61.7006
CC(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,"2",23,Done,26.23,-9.40597,"glide-grid_5j79_chainB_2",,,-9.45475,-0.931142,,,,,,,,,,,,,1,,,-9.45475,-39.713,-6.77166,-46.4847,1.99279,-66.1594
CC(C)S(=O)(=O)c1ccc2nccc(Nc3[nH]nc4ccc(F)cc34)c2c1,"2",24,Done,22.67,-8.74706,"glide-grid_5j79_chainB_2",,,-10.3439,-0.779837,,,,,,,,,,,,,1,,,-10.3439,-41.9392,-8.93904,-50.8783,5.09907,-72.8442
CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,"1",25,Done,29.57,-9.44728,"glide-grid_5j79_chainB_2",,,-9.50096,-0.7,,,,,,,,,,,,,1,,,-9.50096,-43.4629,-4.49098,-47.9539,7.55959,-67.3194
CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3[nH]nc4ccc(F)cc34)c2c1,"1",26,Done,22.57,-8.88972,"glide-grid_5j79_chainB_2",,,-10.4187,-0.855319,,,,,,,,,,,,,1,,,-10.4187,-40.6398,-9.06983,-49.7096,7.29027,-71.5518
