SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
Cc1ccc(O)cc1Nc1ccnc2ccc(S(C)(=O)=O)cc12,"11",1,Done,18.44,-10.9112,"glide-grid_5j79_chainB_2",,,-10.9196,-1.44974,,,,,,,,,,,,,1,,,-10.9196,-37.1893,-14.5051,-51.6944,5.21013,-70.8602
Cc1ccc(O)cc1Nc1cc[nH+]c2ccc(S(C)(=O)=O)cc12,"11",2,Done,23.16,-3.18806,"glide-grid_5j79_chainB_2",,,-5.81897,-0.973412,,,,,,,,,,,,,1,,,-5.81897,-35.625,-11.5512,-47.1762,4.9041,-65.6708
CS(=O)(=O)c1ccc2nccc(Nc3ccc4nn[nH]c4c3)c2c1,"10",3,Done,18.11,-7.68583,"glide-grid_5j79_chainB_2",,,-7.70602,-0.7,,,,,,,,,,,,,1,,,-7.70602,-41.1967,-7.12871,-48.3255,6.76125,-66.918
CS(=O)(=O)c1ccc2[nH+]ccc(Nc3ccc4nn[nH]c4c3)c2c1,"10",4,Done,20.92,-3.36051,"glide-grid_5j79_chainB_2",,,-5.56222,-0.145592,,,,,,,,,,,,,1,,,-5.56222,-39.4162,-5.28806,-44.7043,6.74786,-62.4125
CS(=O)(=O)c1ccc2nccc(Nc3ccc4scnc4c3)c2c1,"9",5,Done,17.12,-7.8192,"glide-grid_5j79_chainB_2",,,-7.82624,-0.437013,,,,,,,,,,,,,1,,,-7.82624,-41.2678,-5.49565,-46.7634,11.9697,-57.4658
CS(=O)(=O)c1ccc2[nH+]ccc(Nc3ccc4scnc4c3)c2c1,"9",6,Done,17.31,-2.45445,"glide-grid_5j79_chainB_2",,,-5.08398,-0.7,,,,,,,,,,,,,1,,,-5.08398,-41.8844,-3.63739,-45.5218,0.710745,-62.2563
CS(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,"8",7,Done,17.77,-9.16332,"glide-grid_5j79_chainB_2",,,-9.2121,-0.9975,,,,,,,,,,,,,1,,,-9.2121,-38.0807,-4.6228,-42.7035,7.25668,-64.2757
CS(=O)(=O)c1ccc2nccc(Nc3[nH]nc4ccc(F)cc34)c2c1,"8",8,Done,22.22,-8.23784,"glide-grid_5j79_chainB_2",,,-9.83466,-0.737707,,,,,,,,,,,,,1,,,-9.83466,-40.5475,-9.5264,-50.0739,2.31923,-72.5921
Cc1ccc(O)cc1Nc1ccnc2ccccc12,"7",9,Done,19.14,-10.4268,"glide-grid_5j79_chainB_2",,,-10.6646,-0.969253,,,,,,,,,,,,,1,,,-10.6646,-32.1325,-11.3127,-43.4453,1.15644,-61.0409
Cc1ccc(O)cc1Nc1cc[nH+]c2ccccc12,"7",10,Done,18.95,-7.58008,"glide-grid_5j79_chainB_2",,,-8.2387,-0.971133,,,,,,,,,,,,,1,,,-8.2387,-30.6389,-8.62702,-39.2659,1.51664,-55.5245
Cc1ccc(O)cc1Nc1ccnc2ccc(-c3cccnc3)cc12,"6",11,Done,33.47,-10.7796,"glide-grid_5j79_chainB_2",,,-10.9696,-1.46856,,,,,,,,,,,,,1,,,-10.9696,-37.9481,-12.2966,-50.2447,5.23092,-70.0925
Cc1ccc(O)cc1Nc1cc[nH+]c2ccc(-c3cccnc3)cc12,"6",12,Done,27.49,-5.01879,"glide-grid_5j79_chainB_2",,,-5.79237,-0.970852,,,,,,,,,,,,,1,,,-5.79237,-36.878,-9.20308,-46.0811,0.80863,-66.1073
Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NCC3CCOCC3)cc12,"5",13,Done,66.47,-11.714,"glide-grid_5j79_chainB_2",,,-11.7551,-2.22901,,,,,,,,,,,,,1,,,-11.7551,-38.7563,-14.6287,-53.385,12.1073,-82.6299
Cc1ccc(O)cc1Nc1cc[nH+]c2ccc(C(=O)NCC3CCOCC3)cc12,"5",14,Done,58.34,-5.15093,"glide-grid_5j79_chainB_2",,,-6.77113,-1.55553,,,,,,,,,,,,,1,,,-6.77113,-41.4826,-12.7848,-54.2675,6.82444,-77.3372
Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NC[C@H]3CCCOC3)cc12,"12",15,Done,57.57,-11.6022,"glide-grid_5j79_chainB_2",,,-11.6433,-2.25314,,,,,,,,,,,,,1,,,-11.6433,-41.2298,-14.8725,-56.1023,7.02731,-84.2547
Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NC[C@@H]3CCCOC3)cc12,"12",16,Done,53.96,-11.4048,"glide-grid_5j79_chainB_2",,,-11.4459,-2.26353,,,,,,,,,,,,,1,,,-11.4459,-41.5621,-15.318,-56.8801,3.52583,-87.1294
Cc1ccc(O)cc1Nc1cc[nH+]c2ccc(C(=O)NC[C@H]3CCCOC3)cc12,"12",17,Done,63.73,-5.13401,"glide-grid_5j79_chainB_2",,,-6.75421,-0.971405,,,,,,,,,,,,,1,,,-6.75421,-42.3847,-11.7716,-54.1563,13.764,-76.4361
Cc1ccc(O)cc1Nc1cc[nH+]c2ccc(C(=O)NC[C@@H]3CCCOC3)cc12,"12",18,Done,51.92,-4.99205,"glide-grid_5j79_chainB_2",,,-6.61225,-1.55514,,,,,,,,,,,,,1,,,-6.61225,-38.7971,-10.097,-48.8941,6.5278,-71.188
COc1ccc2nccc(Nc3cc(O)ccc3C)c2c1,"4",19,Done,23.1,-10.6731,"glide-grid_5j79_chainB_2",,,-11.0466,-1.42646,,,,,,,,,,,,,1,,,-11.0466,-33.9837,-12.0182,-46.0019,10.1571,-62.5038
COc1ccc2[nH+]ccc(Nc3cc(O)ccc3C)c2c1,"4",20,Done,29.18,-6.65308,"glide-grid_5j79_chainB_2",,,-7.10498,-0.970736,,,,,,,,,,,,,1,,,-7.10498,-31.5388,-8.60907,-40.1479,7.89423,-51.9257
Cc1ccc(O)cc1Nc1ccnc2ccc(C(F)(F)F)cc12,"3",21,Done,23.24,-10.8147,"glide-grid_5j79_chainB_2",,,-10.8557,-1.44117,,,,,,,,,,,,,1,,,-10.8557,-34.6708,-11.8498,-46.5206,0.178613,-68.792
Cc1ccc(O)cc1Nc1cc[nH+]c2ccc(C(F)(F)F)cc12,"3",22,Done,26.52,-5.26549,"glide-grid_5j79_chainB_2",,,-6.88903,-0.970528,,,,,,,,,,,,,1,,,-6.88903,-27.8378,-11.0891,-38.9269,2.60992,-55.5789
CC(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,"2",23,Done,27.45,-9.45806,"glide-grid_5j79_chainB_2",,,-9.50684,-0.924464,,,,,,,,,,,,,1,,,-9.50684,-40.6398,-5.1639,-45.8037,3.82882,-69.437
CC(C)S(=O)(=O)c1ccc2nccc(Nc3[nH]nc4ccc(F)cc34)c2c1,"2",24,Done,21.32,-8.74413,"glide-grid_5j79_chainB_2",,,-10.3409,-0.802568,,,,,,,,,,,,,1,,,-10.3409,-41.9094,-8.93322,-50.8426,4.68233,-73.1929
CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,"1",25,Done,26.83,-9.43196,"glide-grid_5j79_chainB_2",,,-9.48564,-0.7,,,,,,,,,,,,,1,,,-9.48564,-42.9723,-4.35583,-47.3282,9.01,-66.4736
CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3[nH]nc4ccc(F)cc34)c2c1,"1",26,Done,26.95,-8.88832,"glide-grid_5j79_chainB_2",,,-10.4173,-0.858644,,,,,,,,,,,,,1,,,-10.4173,-40.8304,-9.019,-49.8494,6.569,-72.1348
